unique_id,street,city,state,zip
LIHTC_CENSUS_0133,1305 MEGGAN STREET,BLACKFOOT,ID,83221
LIHTC_CENSUS_0134,241 W SPRINGFIELD RD,ARCOLA,IL,61910
LIHTC_CENSUS_0135,120 W BOEGER DR,ARLINGTON HEIGHTS,IL,60461
LIHTC_CENSUS_0136,120 22 W BOEGER DR,ARLINGTON HEIGHTS,IL,60461
LIHTC_CENSUS_0137,300 302 RHEMA DR,ARTHUR,IL,61911
LIHTC_CENSUS_0138,601 N MEADOWS BLVD,ADDISON,IL,60101
LIHTC_CENSUS_0139,902 W COLLEGE BLVD,ADDISON,IL,60101
LIHTC_CENSUS_0140,3128 1/2 W PALMER SQ,CHICAGO,IL,60647
LIHTC_CENSUS_0141,123 - 125 E. PERSHING ROAD 3908 S. INDIANA AVE.,CHICAGO,IL,60653
LIHTC_CENSUS_0142,223 - 225 E. 41ST STREET 4108 S. PRAIRIE AVE.,CHICAGO,IL,60653
LIHTC_CENSUS_0143,2118 1/2 N KEDZIE BLVD,CHICAGO,IL,60647
LIHTC_CENSUS_0144,105 1/2 W FIRST ST,DIXON,IL,61021
LIHTC_CENSUS_0145,302 N HARRISON STREET,ALEXANDRIA,IN,46001
LIHTC_CENSUS_0146,1315 JOHN STREET,ANDERSON,IN,46016
LIHTC_CENSUS_0147,401 N VIRGIL,AKRON,IN,46910
LIHTC_CENSUS_0148,301 N CANAL STREET,ALEXANDRIA,IN,46001
LIHTC_CENSUS_0149,2200 HUMMINGBIRD LN,ALEXANDRIA,IN,46001
LIHTC_CENSUS_0150,306 LINCOLN WOOD DR,ALEXANDRIA,IN,46001
LIHTC_CENSUS_0151,2030 RUNAWAY BAY DR,INDIANAPOLIS,IN,46208
LIHTC_CENSUS_0152,31 RED BUD ST,LOOGOOTEE,IN,47553
LIHTC_CENSUS_0153,596 - 610 KATELYNN DR.,PORTLAND,IN,47371
LIHTC_CENSUS_0154,615 KATELYNN DR.,PORTLAND,IN,47371
LIHTC_CENSUS_0155,502 1/2 N MAIN ST,CLOVERDALE,IN,46120
LIHTC_CENSUS_0156,2429 N 154TH ST,BASEHOR,KS,66007
LIHTC_CENSUS_0157,915 18TH STREET,BELLEVILLE,KS,66935
LIHTC_CENSUS_0158,801 W TAYLOR AVE,ARKANSAS CITY,KS,67005
LIHTC_CENSUS_0159,2429 N. 155TH STREET,BASEHOR,KS,66007
LIHTC_CENSUS_0160,510 NW SECOND ST,ABILENE,KS,67410
LIHTC_CENSUS_0161,610 NW SECOND ST,ABILENE,KS,67410
LIHTC_CENSUS_0162,904 RIDGE RD.,BALDWIN CITY,KS,66006
LIHTC_CENSUS_0163,906 RIDGE RD.,BALDWIN CITY,KS,66006
LIHTC_CENSUS_0164,817 1/2 W BURTON ST,WICHITA,KS,67213
LIHTC_CENSUS_0165,1791 OLD LOUISVILLE RD,BOWLING GREEN,KY,42101
LIHTC_CENSUS_0166,1119 NORTHRIDGE DR,ELIZABETHTOWN,KY,42701
LIHTC_CENSUS_0167,100 W WATER ST,ALBANY,KY,42602
LIHTC_CENSUS_0168,80 MURPHY BOTTOM RD,BELFRY,KY,41514
